#,QUESTIONS,ANSWER CHOICES,,"FORMULA =IF(H77=""C"",""3"","""")",,,ANSWER KEY
,,A,B,C,D,E,
1,"41, 5 69 what is the value of circled digit",5 tens,5 thousands,5 hundreds,50 tens,15 hundreds,3
2,In multiplication the digits in rows that we get from multiplying are ………………….,subtracted,added,divided,reordered,none of these,2
3,"Four hundred &  fifty thousand, two hundred and nineteen.","45, 219","405, 219","450, 219","4 50, 290","415, 219",3
4,"5.249, 5.492, 5.924, 5.942.These numbers are in ………………order",ascending   ,descending ,none of these,same,unlike,1
5,2.021 can be written in fraction as,22/100,2021/100,221/1000,2021/1000,2021/10000,4
6,4.25 p.m in 24 hour clock will be:,4.25 hours,18.25 hours,16.35 hours,15.25 hours,16.25 hours,5
7,L.C.M of 6 and 9 is:,12,9,18,6,19,3
8, Convert into improper fraction  2 ⅖,15/5,17/10,17/5,13/10,13/5,5
9,What is the order of International place values U   T   H   Th  H.Th T.Th,T.Th  M  T.M  Th  H.Th  H  T  U ,T.Th  Th  L  C  T.L  H  T  U ,T.M  M  H.Th  T.Th  Th  H  T  U, U  T   H   Th   L C  T.Th T.L, U  T  H  Th  T.Th  H.Th  M  T.M,3
10," Successor of 1,22,16,999 is ","1, 22, 16, 000","1, 22, 16, 998","1, 23, 00, 000","1, 22, 17, 990","1, 22, 17, 000",5
11,"  Predecessor of 32,00,000","31, 99, 999","32, 00, 001","32, 98, 000","31, 00, 000","31, 00, 009",1
12,"Write the numbers, placing your commas carefully: Seven million four hundred thousand and six hundred.",746,"740,006","74,006","74,000,006","7,400,006",5
13,"item the value of the ringed digits:  3 4 5  9, 7 5 3",50,500,5000,"50,000","500,000",4
14,"Write the value of the ringed digits:     8 7 4 9, 2 5 8",9 units,9 tens,9 hundreds,9 thousands,9 ten thousands,4
15,"Write the value of the ringed digits:   2, 5 7 9, 6 4 3",4 units,4 tens,4 hundreds,4 thousands,4 ten thousands,2
16,"Write the value of the ringed digits: 3,4 5  9, 7 5 3",7 units,7 tens,7 hundreds,7 thousands,7 ten thousands,3
17,"Write the symbols ,-, +, >, < or = in the blanks:  1,850,119 …………… 1,851,119",  =, <  ,  > , +  , -  ,2
18,Round off these times to the nearest 5 minutes unit:  4:33 AM  ,4:38 AM,4:34 AM,4:32 AM,4:31 AM,4:35 AM,5
19,How many times digit 2 will appear in integers from 1 to 30? ,12,13,11,10,14,2
20,"If one notebook contains 78 pages, how many pages will 5 notebooks contain?",380 pages,300 pages,290 pages,390 pages,240 pages,4
21,"Find the missing number?687, 688, 699, …………….",692,700,690,691,686,2
22,Ali is solving a sum: What will be the product of  this sum?4 x 2=…………x 2=………… x1=?,32,18,30,16,34,4
23,Find the missing sign.                8 x 3=                 6 = 18                     ,+,-,x,÷,none of these,1
24,"Zero subtracted from any number is the original number, for example 7 - 0= 7.",TRUE,FALSE,may be,never,sometimes,1
25,How much is 2007 ÷ (3+0+0+6) - 3×0×0×6 = ?,221,9,0,220,223,5
26,4 × 4 + 4 + 4 + 4 + 4 + 4 × 4 =?,32,44,48,40,34,3
27,The estimated number nearer to 37 will be?,30,40,20,50,10,2
28,The estimated number nearer to 236 will be? ,100,200,300,400,500,2
29,The estimated number nearer to 8 572  will be?,5000,6000,7000,8000,9000,5
30,"Write the symbols ,-, +, >, < or = in the blanks100,005  ………. 110,050",<,=,>, +  , -  ,1
31,What is the value of 2 x 0 x 0 x 6 + 2006? ,2006,2018,2007,2005,2009,1
32,"Multiply these, put commas.380  x 10     = ………………………","3,800","38,000","3,700","37,000",none,1
33,"Multiply these, put commas.163  x 100   = ………………………","163,000","16,300","1,630","1,630,000",none,2
34,"Multiply these, put commas.582 x 1,000 =………………………","580,000","58,000","5,820,000","58,200","582,000",5
35,"Multiply these, put commas.19 x 10,000 = ……………………...","19,000","190,000","198,000","1,900","1,900,000",2
36,"Solve this : Multiplicand 226, multiplier 483","109,156","109,168","109,258","108,158","109,158",5
37,How many straight lines / line are there in a star         ?,6,8,5,12,10,5
38,How many flat surfaces or faces are there in a cuboid             ?,4,5,3,6,1,4
39,33 + 18 = 29+ ?,21,24,32,22,37,4
40,17 X 3 = ?,47,51,49,53,54,2
41,28 ÷ ? = 7,3,3.5,4,4.5,5,3
42,,,,,,,5
43,,,,,,,1
44,22 % of 200 = ?,42,44,40,88,46,2
45,The decimal of                      = …………………………,2.5,3.8,4.5,2.8,,1
46,                                                           = …………………………..,selling price,% profit,% loss,cost price,commission,3
47,The improper form of              is …………………….,,,,,,2
48,3 / 4 of 48 balloons will be equal to …………,16 balloons,60 balloons,15 balloons,66 balloons,61 balloons,2
49,1 / 3 of 15 pens will be equal to …………,5,5 pens,5 guns,5 flowers,5 rubbers,2
50,1 / 2 of 110 clips will be equal to …………,52 clips,55 clips,54 clips,56 clips,66 clips,2
